Theme,Sub-Theme,Feature Name,URL,longitude,latitude
Transport,Railway Station,Flemington Bridge Railway Station,https://www.ptv.vic.gov.au/stop/1069/flemington-bridge-station/0/train/#StopPage:::datetime=2022-10-18T19%3A14%3A12.534Z&directionId=-1&showAllDay=false&_auth=dc79b1bc724d91d91cac1bb04814d7325d1118d95a2625d46eb3166248b777cd,144.9392778,-37.78816459
Mixed Use,Retail/Office/Carpark,Council House 2 (CH2),https://www.archdaily.com/395131/ch2-melbourne-city-council-house-2-designinc,144.9666384,-37.81425914
Place Of Assembly,Library,The Melbourne Athenaeum Library,https://www.tripadvisor.com/Attraction_Review-g255100-d15029894-Reviews-Melbourne_Athenaeum_Library-Melbourne_Victoria.html,144.9672913,-37.81488558
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,https://www.melbourne.vic.gov.au/community/parks-open-spaces/major-parks-gardens/Pages/carlton-gardens.aspx,144.9712665,-37.80606846
Place of Worship,Church,St Francis Church,http://www.stfrancismelbourne.com/,144.9624226,-37.81188478
Place of Worship,Church,Wesley Church,https://wesleychurchmelbourne.org.au/,144.9681682,-37.81015764
Place of Worship,Church,St Augustines Church,https://www.tripadvisor.com.au/Attraction_Review-g255100-d1214657-Reviews-St_Augustine_Church-Melbourne_Victoria.html,144.954862,-37.81697414
Place of Worship,Church,St James Church,https://www.tripadvisor.com.au/Attraction_Review-g261601-d10771579-Reviews-St_James_Anglican_Church-Dandenong_Greater_Melbourne_Victoria.html,144.9524686,-37.81012812
Place of Worship,Church,St Mary's Anglican Church,https://www.tripadvisor.com.au/Attraction_Review-g255100-d15575227-Reviews-St_Mary_s_Anglican_Church-Melbourne_Victoria.html,144.9537615,-37.80316637
Place of Worship,Church,Romanian Orthodox,https://www.tripadvisor.com.au/Attraction_Review-g255100-d12998397-Reviews-Romanian_Orthodox_Church-Melbourne_Victoria.html,144.9669864,-37.80523073
Place of Worship,Church,Welsh Presbyterian Church,https://www.tripadvisor.com.au/Attraction_Review-g255100-d6748723-Reviews-Wesley_Church_Melbourne-Melbourne_Victoria.html,144.9598733,-37.81044788
Place of Worship,Church,Church of Christ,https://www.tripadvisor.com.au/Attraction_Review-g947958-d8365961-Reviews-Christ_Church_Brunswick-Brunswick_Moreland_Greater_Melbourne_Victoria.html,144.9638892,-37.81045241
Place of Worship,Church,Scots Church,https://www.tripadvisor.com.au/Attraction_Review-g255100-d6786988-Reviews-Scots_Church-Melbourne_Victoria.html,144.9685511,-37.81456878
Place of Worship,Church,St Michael's Uniting Church,https://www.tripadvisor.com.au/Attraction_Review-g255100-d6637918-Reviews-St_Michael_s_Church-Melbourne_Victoria.html,144.969174,-37.81438513
Place of Worship,Church,Greek Orthodox Church,https://www.tripadvisor.com.au/Attraction_Review-g255100-d20403634-Reviews-St_John_the_Baptist_Greek_Orthodox_Church_North_Carlton-Melbourne_Victoria.html,144.9782591,-37.80880647
Place of Worship,Church,St Peter's Eastern Hill,https://www.tripadvisor.com.au/Attraction_Review-g255100-d526954-Reviews-St_Peter_s_Church-Melbourne_Victoria.html,144.9752592,-37.80970867
Place of Worship,Church,Lutheran Trinity Church,https://www.tripadvisor.com.au/Attraction_Review-g255100-d10674635-Reviews-German_Lutheran_Trinity_Church-Melbourne_Victoria.html,144.9757295,-37.81097571
Place of Worship,Church,Holy Trinity,https://www.tripadvisor.com.au/Attraction_Review-g1816502-d19643787-Reviews-Holy_Trinity_Anglican_Church-Coburg_Moreland_Greater_Melbourne_Victoria.html,144.9831973,-37.81406671
Place of Worship,Church,St Johns Lutheran Church,https://www.tripadvisor.com.au/Attraction_Review-g635984-d8747536-Reviews-St_John_s_Anglican_Church-Toorak_Stonnington_Greater_Melbourne_Victoria.html,144.9671211,-37.82093997
